X,Y
0,150.0000
1,150.0000
2,150.0000
3,150.0000
4,151.0000
5,152.0000
6,150.0000
7,151.0000
8,151.0000
9,148.0000
10,146.0000
11,147.0000
12,145.3333
13,142.3333
14,149.0000
15,147.0000
16,147.0000
17,148.0000
18,148.0000
19,146.0000
20,146.0000
21,147.0000
22,148.6667
23,148.6667
24,149.6667
25,149.6667
26,149.6667
27,147.6667
28,145.6667
29,144.6667
30,149.0000
31,147.0000
32,148.0000
33,149.0000
34,148.0000
35,151.0000
36,151.0000
37,147.0000
38,148.0000
39,151.0000
40,151.0000
41,151.0000
42,151.0000
43,150.0000
44,148.0000
45,150.0000
46,152.0000
47,150.0000
48,152.0000
49,151.0000
50,147.0000
51,147.0000
52,149.0000
53,147.0000
54,144.0000
55,148.0000
56,148.0000
57,144.0000
58,146.0000
59,150.0000
60,150.0000
61,145.0000
62,148.0000
63,150.0000
64,144.0000
65,146.0000
66,147.0000
67,145.0000
68,146.0000
69,140.0000
70,145.0000
71,146.0000
72,142.0000
73,143.0000
74,149.0000
75,150.0000
76,148.0000
77,149.0000
78,148.0000
79,150.0000
80,149.0000
81,147.0000
82,146.0000
83,147.0000
84,146.0000
85,144.0000
86,146.0000
87,146.0000
88,144.0000
89,142.0000
90,144.0000
91,147.0000
92,145.0000
93,140.0000
94,144.0000
95,144.0000
96,144.0000
97,145.0000
98,147.0000
99,148.0000
100,148.0000
101,147.0000
102,146.0000
103,145.0000
104,145.0000
105,146.0000
106,147.0000
107,148.0000
108,148.0000
109,147.0000
110,149.0000
111,149.0000
112,147.6667
113,149.6667
114,150.6667
115,150.6667
116,148.6667
117,146.6667
118,147.6667
119,150.6667
120,148.6667
121,142.6667
122,142.6667
123,147.6667
124,147.6667
125,141.6667
126,141.6667
127,141.6667
128,145.0000
129,142.0000
130,144.0000
131,141.0000
132,144.0000
133,144.0000
134,144.0000
135,146.0000
136,145.0000
137,144.0000
138,145.0000
139,145.0000
140,143.0000
141,144.0000
142,146.0000
143,147.0000
144,145.0000
145,142.0000
146,144.0000
147,146.0000
148,146.0000
149,144.0000
150,146.0000
151,145.0000
152,146.0000
153,145.0000
154,144.0000
155,145.0000
156,145.0000
157,140.0000
158,136.3333
159,143.3333
160,146.3333
161,141.3333
162,138.3333
163,141.3333
164,141.3333
165,137.3333
166,140.0000
167,144.0000
168,143.0000
169,144.0000
170,140.0000
171,135.0000
172,137.0000
173,137.0000
174,142.3333
175,139.3333
176,138.6667
177,136.6667
178,135.6667
179,143.6667
180,145.6667
181,135.6667
182,137.3333
183,138.3333
184,141.3333
185,135.3333
186,136.6667
187,144.6667
188,140.6667
189,138.6667
190,141.6667
191,138.6667
192,135.6667
193,136.6667
194,139.6667
195,139.6667
196,137.6667
197,134.6667
198,139.6667
199,137.6667
200,138.6667
201,139.6667
202,139.6667
203,139.6667
204,138.6667
205,134.6667
206,137.0000
207,136.0000
208,135.0000
209,136.0000
210,137.0000
211,138.0000
212,137.0000
213,136.0000
214,136.0000
215,135.0000
216,133.0000
217,132.0000
218,132.0000
219,132.0000
220,129.6667
221,128.6667
222,127.6667
223,129.6667
224,134.6667
225,133.6667
226,129.6667
227,132.6667
228,134.6667
229,129.6667
230,134.3333
231,135.3333
232,133.3333
233,129.3333
234,129.3333
235,130.3333
236,129.3333
237,125.3333
238,128.3333
239,130.3333
240,130.3333
241,128.3333
242,130.3333
243,134.3333
244,133.3333
245,129.3333
246,131.3333
247,129.3333
248,128.3333
249,130.3333
250,131.3333
251,128.3333
252,127.3333
253,127.3333
254,129.3333
255,131.3333
256,132.3333
257,131.3333
258,129.3333
259,127.3333
