X,Y
0,170
1,171
2,171
3,171
4,170
5,169
6,169
7,170
8,171
9,173
10,172
11,171
12,171
13,171
14,171
15,169
16,169
17,170
18,170
19,164
20,163
21,168
22,169
23,166
24,168
25,174
26,169
27,170
28,171
29,170
30,169
31,169
32,169
33,169
34,171
35,171
36,169
37,169
38,169
39,169
40,168
41,168
42,169
43,171
44,171
45,169
46,168
47,168
48,168
49,167
50,172
51,170
52,168
53,168
54,169
55,168
56,167
57,167
58,169
59,171
60,173
61,173
62,171
63,168
64,168
65,168
66,169
67,167
68,167
69,171
70,172
71,169
72,168
73,169
74,169
75,167
76,169
77,171
78,168
79,167
80,168
81,167
82,170
83,168
84,168
85,168
86,168
87,170
88,170
89,166
90,169
91,170
92,170
93,169
94,169
95,170
96,170
97,169
98,169
99,169
100,170
101,170
102,170
103,171
104,171
105,171
106,171
107,172
108,174
109,171
110,167
111,165
112,166
113,168
114,166
115,165
116,165
117,165
118,165
119,166
120,166
121,166
122,166
123,161
124,154
125,155
126,158
127,158
128,155
129,153
130,150
131,150
132,150
133,151
134,151
135,149
136,148
137,148
138,150
139,148
140,150
141,150
142,150
143,149
144,149
145,153
146,148
147,146
148,145
149,144
150,144
151,146
152,147
153,148
154,147
155,144
156,142
157,142
158,142
159,140
160,140
161,140
162,143
163,143
164,143
165,146
166,142
167,137
168,139
169,137
170,136
171,138
172,138
173,137
174,138
175,137
176,137
177,139
178,131
179,133
180,133
181,130
182,130
183,132
184,133
185,132
186,132
187,129
188,127
189,126
190,125
191,126
192,126
193,125
194,123
195,122
196,122
197,122
198,122
199,122
200,121
201,120
202,120
203,124
204,120
205,115
206,118
207,119
208,115
209,117
210,117
211,114
212,110
213,116
214,109
215,114
216,108
217,115
218,118
219,116
220,115
221,116
222,114
223,109
224,108
225,111
226,108
227,109
228,110
229,108
230,107
231,107
232,107
233,106
234,106
235,106
236,109
237,110
238,106
239,102
240,103
241,104
242,103
243,103
244,103
245,102
246,102
247,102
248,103
249,104
250,103
251,102
252,102
253,102
254,103
255,102
256,98
257,96
258,98
259,100
260,95
261,95
262,100
263,98
264,95
265,99
266,94
267,95
268,96
269,96
270,95
271,93
272,92
273,92
274,93
275,93
276,93
277,93
278,93
279,92
280,92
281,92
282,92
283,90
284,91
285,92
286,93
287,91
288,91
289,91
290,92
291,92
292,90
293,90
294,90
295,89
296,89
297,89
298,90
299,89
300,89
301,89
302,87
303,89
304,89
305,86
306,86
307,86
308,85
309,85
310,87
311,86
312,85
313,86
314,84
315,88
316,86
317,83
318,85
319,85
320,83
321,84
322,89
323,87
324,83
325,81
326,81
327,81
328,82
329,83
330,82
331,82
332,82
333,82
334,84
335,85
336,84
337,83
338,82
339,82
340,81
341,82
342,82
343,82
344,82
345,82
346,80
347,82
348,84
349,83
350,82
351,81
352,82
353,83
354,79
355,79
356,81
357,82
358,80
359,80
360,81
361,79
362,81
363,79
364,79
365,81
366,80
367,78
368,78
369,81
370,81
371,81
372,80
373,79
374,79
375,79
376,79
377,80
378,79
379,79
380,77
381,77
382,80
383,80
384,79
385,79
386,82
387,81
388,80
389,79
390,80
391,81
392,81
393,81
394,77
395,77
396,78
397,79
398,80
399,80
400,79
401,77
402,81
403,78
404,77
405,77
406,75
407,77
408,78
409,77
410,74
411,78
412,79
413,77
414,75
415,76
416,77
417,76
418,79
419,77
420,77
421,78
422,78
423,77
424,77
425,77
426,77
427,77
428,79
429,79
430,75
431,75
432,77
433,77
434,78
435,77
436,77
437,77
438,78
439,78
440,77
441,77
442,75
443,78
444,79
445,76
446,75
447,78
448,79
449,78
450,79
451,77
452,77
453,75
454,75
455,77
456,76
457,78
458,79
459,79
460,78
461,77
462,77
463,78
464,80
465,81
466,78
467,78
468,79
469,80
470,80
471,79
472,78
473,78
474,78
475,78
476,77
477,78
478,76
479,75
480,78
481,75
482,75
483,75
484,78
485,81
486,81
487,79
488,78
489,79
490,79
491,80
492,80
493,79
494,79
495,79
496,79
497,80
498,82
499,84
500,82
501,79
502,79
503,82
504,81
505,77
506,78
507,80
508,82
509,83
510,82
511,82
512,83
513,83
514,82
515,82
516,83
517,84
518,84
519,83
520,82
521,81
522,83
523,82
524,81
525,80
526,82
527,89
528,90
529,84
530,82
531,86
532,87
533,85
534,84
535,84
536,84
537,87
538,86
539,86
540,88
541,88
542,85
543,86
544,89
545,87
546,87
547,84
548,83
549,86
550,87
551,86
552,87
553,90
554,89
555,89
556,88
557,88
558,88
559,88
560,88
561,87
562,88
563,88
564,89
565,89
566,89
567,90
568,92
569,93
570,91
571,95
572,93
573,92
574,95
575,93
576,91
577,95
578,91
579,93
580,96
581,97
582,98
583,99
584,98
585,96
586,94
587,95
588,97
589,97
590,98
591,98
592,98
593,98
594,101
595,102
596,103
597,103
598,102
599,102
600,103
601,104
602,102
603,101
604,102
605,103
606,103
607,103
608,106
609,112
610,109
611,110
612,109
613,106
614,106
615,110
616,112
617,111
618,112
619,108
620,109
621,114
622,115
623,115
624,117
625,118
626,116
627,114
628,115
629,119
630,121
631,122
632,122
633,122
634,119
635,123
636,125
637,125
638,121
639,121
640,124
641,129
642,129
643,131
644,131
645,131
646,129
647,128
648,126
649,123
650,130
651,140
652,138
653,133
654,137
655,137
656,134
657,138
658,130
659,134
660,142
661,144
662,141
663,143
664,140
665,137
666,138
667,141
668,140
669,144
670,142
671,140
672,141
673,139
674,144
675,141
676,150
677,154
678,158
679,162
680,155
681,153
682,156
683,158
684,155
685,166
686,164
687,170
688,166
689,172
690,168
691,169
692,171
693,172
694,172
695,172
696,172
697,172
698,171
699,172
700,171
701,170
702,169
703,169
704,171
705,173
706,168
707,168
708,168
709,168
710,169
711,169
712,169
713,168
714,168
715,170
716,171
717,169
718,167
719,167
720,170
721,172
722,171
723,163
724,163
725,167
726,168
727,166
728,167
729,169
730,166
731,167
732,166
733,168
734,172
735,174
736,174
737,175
738,170
739,173
740,173
741,171
742,173
743,173
744,166
745,160
746,162
747,167
748,166
749,166
750,172
751,170
752,165
753,166
754,169
755,167
756,167
757,169
758,171
759,172
760,171
761,168
762,169
763,170
764,169
765,169
766,170
767,169
768,169
769,171
770,170
771,170
772,170
773,171
774,172
775,173
776,172
777,170
778,174
779,171
780,169
781,170
782,171
783,171
784,170
785,170
786,170
787,170
788,170
789,170
790,170
791,170
792,170
793,171
794,168
795,169
796,170
797,170
798,170
799,171
800,171
