X,Y
0,178.000
1,183.000
2,191.000
3,186.000
4,187.000
5,188.667
6,180.667
7,180.333
8,180.667
9,180.667
10,177.667
11,173.667
12,162.667
13,164.667
14,178.667
15,171.667
16,178.000
17,194.667
18,190.667
19,185.667
20,186.667
21,188.333
22,188.333
23,179.667
24,193.000
25,187.000
26,181.000
27,185.000
28,197.000
29,180.000
30,179.000
31,176.000
32,195.000
33,197.000
34,189.000
35,185.000
36,183.667
37,187.667
38,189.667
39,177.667
40,184.667
41,184.667
42,178.667
43,174.667
44,181.333
45,186.333
46,184.333
47,182.333
48,186.333
49,187.333
50,184.333
51,184.333
52,187.667
53,185.667
54,180.667
55,180.667
56,179.333
57,169.333
58,168.333
59,177.667
60,183.667
61,190.667
62,189.667
63,180.667
64,175.667
65,185.667
66,192.667
67,193.333
68,190.333
69,182.667
70,183.667
71,194.000
72,189.667
73,189.667
74,179.333
75,175.333
76,174.333
77,174.333
78,172.333
79,159.333
80,175.000
81,194.000
82,190.667
83,188.667
84,193.333
85,196.333
86,202.333
87,195.333
88,195.333
89,180.333
90,179.333
91,187.333
92,187.667
93,184.667
94,185.667
95,184.667
96,183.667
97,186.667
98,184.000
99,183.333
100,181.333
101,186.667
102,193.667
103,176.667
104,178.667
105,192.667
106,186.667
107,190.667
108,187.000
109,173.000
110,173.000
111,162.000
112,171.000
113,169.000
114,166.667
115,168.667
116,174.667
117,175.667
118,171.667
119,169.667
120,177.667
121,185.667
122,180.667
123,177.000
124,178.000
125,179.000
126,184.667
127,184.667
128,192.667
129,183.667
130,183.667
131,183.667
132,181.667
133,174.667
134,165.667
135,170.667
136,178.667
137,167.667
138,152.667
139,145.667
140,159.667
141,159.667
142,166.000
143,161.000
144,158.000
145,160.000
146,162.000
147,169.000
148,165.000
149,159.000
150,163.000
151,159.000
152,159.667
153,165.667
154,165.667
155,159.667
156,166.000
157,153.000
158,171.333
159,165.000
160,165.000
161,174.000
162,188.000
163,180.000
164,169.000
165,175.000
166,174.333
167,163.333
168,163.333
169,164.333
170,176.333
171,179.333
172,161.333
173,160.333
174,174.333
175,166.333
176,168.333
177,157.667
178,155.333
179,158.333
180,158.333
181,155.333
182,155.333
183,155.333
184,162.667
185,159.333
186,152.333
187,151.333
188,145.333
189,143.333
190,148.667
191,143.667
192,149.000
193,151.000
194,159.333
195,178.000
196,187.333
197,180.000
198,176.000
199,174.000
200,163.000
201,149.333
202,138.333
203,145.333
204,147.333
205,146.667
206,149.667
207,142.667
208,147.333
209,147.333
210,147.000
211,152.000
212,151.333
213,156.333
214,145.333
215,151.333
216,145.333
217,147.333
218,145.333
219,142.333
220,144.667
221,148.667
222,150.667
223,148.667
224,148.667
225,148.667
226,163.333
227,153.333
228,146.333
229,142.333
230,140.667
231,131.667
232,129.333
233,129.333
234,134.333
235,132.333
236,124.667
237,126.667
238,127.667
239,117.667
240,125.667
241,118.667
242,124.333
243,123.333
244,126.333
245,135.333
246,132.333
247,127.333
248,128.333
249,140.333
250,135.000
251,136.000
252,135.000
253,136.000
254,149.000
255,145.000
256,137.000
257,134.000
258,133.333
