X,Y
0,211.9167
1,212.2267
2,212.3867
3,212.4300
4,212.8400
5,213.0767
6,213.1467
7,213.0767
8,213.2400
9,213.8067
10,213.6433
11,214.4967
12,214.7067
13,214.6400
14,215.9433
15,217.6067
16,216.8500
17,217.6400
18,218.3467
19,218.2800
20,218.2100
21,217.4567
22,216.2500
23,215.6367
24,215.0200
25,214.4400
26,214.2267
27,212.7533
28,211.4633
29,210.6300
30,209.5833
31,208.9500
32,208.4633
33,207.9233
34,207.4433
35,206.6433
36,205.9733
37,205.6500
38,205.1167
39,204.3367
40,203.6033
41,203.2300
42,202.7933
43,202.3333
44,201.7433
45,201.2367
46,200.7867
47,200.0967
48,199.4500
49,199.1067
50,198.4500
51,198.2433
52,197.9533
53,197.4867
54,197.2667
55,196.9233
56,196.6800
57,196.6067
58,196.6267
59,196.7600
60,197.0467
61,197.1900
62,197.2233
63,197.4600
64,197.3600
65,197.5767
66,197.8600
67,197.8233
68,198.0733
69,198.2333
70,198.5767
71,198.7433
72,199.1400
73,200.1533
74,201.0200
75,200.9967
76,201.9000
77,202.3200
78,202.8667
79,203.0133
80,204.0700
81,203.9300
82,204.5133
83,204.0600
84,205.5600
85,205.7833
86,206.8200
87,206.8600
88,208.0033
89,208.5833
90,208.6467
91,209.1167
92,210.0033
93,210.3767
94,211.1933
95,212.1300
96,213.1067
97,213.6500
98,214.5600
99,214.9033
100,214.5433
101,214.8833
102,215.9967
103,214.7733
104,213.9900
105,213.2033
106,213.2367
107,212.1900
108,212.2833
109,211.9600
110,212.1267
111,212.1300
112,212.1233
113,212.0767
114,211.8567
115,211.6600
116,212.0000
117,211.0733
118,210.6367
