X,Y
0,216.8633
1,217.1900
2,217.7267
3,218.0133
4,218.3200
5,218.8400
6,218.7733
7,218.8533
8,218.7100
9,218.7067
10,218.6867
11,218.9100
12,218.4433
13,218.5200
14,218.8833
15,218.6867
16,218.6800
17,218.5433
18,218.4000
19,218.6133
20,219.0000
21,219.3933
22,219.7633
23,220.1800
24,220.6300
25,220.6200
26,220.5400
27,220.3533
28,220.2700
29,220.3433
30,220.5333
31,220.8433
32,220.9533
33,221.0633
34,221.1233
35,221.3233
36,221.4467
37,221.7067
38,221.6933
39,221.7300
40,221.6733
41,221.6200
42,221.7200
43,221.8700
44,222.0367
45,221.8767
46,221.9800
47,221.9133
48,221.9833
49,221.8900
50,221.7567
51,221.7000
52,222.4500
53,223.7067
54,218.9867
55,218.1867
56,217.3167
57,216.2267
58,214.5067
59,212.8067
60,211.4533
61,210.2500
62,209.1200
63,208.1467
64,207.4567
65,206.7767
66,205.6300
67,204.3867
68,203.7167
69,203.2033
70,202.9333
71,202.5433
72,201.9367
73,201.5667
74,201.1567
75,200.9467
76,200.8367
77,200.8300
78,200.9233
79,201.5300
80,201.7533
81,201.8900
82,202.3467
83,202.8433
84,203.2367
85,203.5967
86,204.4133
87,204.9500
88,205.8633
89,206.5633
90,207.4267
91,208.6333
92,209.5267
93,211.1533
94,212.3333
95,214.3367
96,216.3767
97,217.4267
98,219.6667
99,220.4367
100,220.8067
101,220.5867
102,221.1067
103,220.6900
104,220.2033
105,219.5500
106,219.8200
107,219.6567
108,220.1600
109,218.2000
110,218.9367
111,218.1967
112,217.7500
113,218.1000
114,218.0000
115,217.8867
116,217.6933
117,217.6367
118,217.6000
119,217.9000
120,218.1900
121,218.5467
122,218.8600
123,218.7167
124,218.6867
125,218.7367
126,218.3667
127,218.3800
128,218.4167
129,218.7233
130,218.5167
131,218.5833
132,218.5600
133,218.3167
134,218.5733
135,218.4700
136,218.2433
137,218.5067
138,218.3600
139,218.5533
140,218.7567
141,218.8033
142,218.7533
143,218.6533
144,218.8533
145,218.9267
146,218.5733
147,218.2967
148,218.1700
149,218.1600
150,217.8167
