Distance_(pixels),Gray_Value
0,235.000
1,255.000
2,216.333
3,217.000
4,198.000
5,200.000
6,197.333
7,197.000
8,198.000
9,198.667
10,199.000
11,199.000
12,199.000
13,200.000
14,201.000
15,201.333
16,202.667
17,204.000
18,206.333
19,208.333
20,210.667
21,211.000
22,212.667
23,214.000
24,213.667
25,214.333
26,214.333
27,215.333
28,215.333
29,216.333
30,216.667
31,216.667
32,217.000
33,217.667
34,217.667
35,218.000
36,218.000
37,218.000
38,218.667
39,219.000
40,219.000
41,219.000
42,219.000
43,219.000
44,219.000
45,219.000
46,219.000
47,218.333
48,218.333
49,219.000
50,219.000
51,219.000
52,217.667
53,218.333
54,219.000
55,218.333
56,218.333
57,218.333
58,218.333
59,218.333
60,218.333
61,218.333
62,219.333
63,219.333
64,219.333
65,219.333
66,218.333
67,218.333
68,217.333
69,217.333
70,217.333
71,217.333
72,217.333
73,216.333
74,214.333
75,213.000
76,214.000
77,215.333
78,217.667
79,217.667
80,215.667
81,212.333
82,209.333
83,186.333
84,108.333
85,114.667
86,112.667
87,111.667
88,111.000
89,109.000
90,107.667
91,108.000
92,106.667
93,106.000
94,105.333
95,106.333
96,105.667
97,105.333
98,105.333
99,104.667
100,104.000
101,104.000
102,102.000
103,102.000
104,100.667
105,100.333
106,99.667
107,99.667
108,99.667
109,99.000
110,99.333
111,100.000
112,100.333
113,100.333
114,100.000
115,100.000
116,100.667
117,100.000
118,99.667
119,101.000
120,101.333
121,102.000
122,103.333
123,103.333
124,105.000
125,107.333
126,107.000
127,106.667
128,148.667
129,170.333
130,181.667
131,192.000
132,203.000
133,209.000
134,210.000
135,211.333
136,211.333
137,212.333
138,213.333
139,212.333
140,212.333
141,212.333
142,212.333
143,213.333
144,213.333
145,213.333
146,213.333
147,213.333
148,213.333
149,213.333
150,212.333
151,212.333
152,212.333
153,212.000
154,212.000
155,212.000
156,212.000
157,212.000
158,212.000
159,211.333
160,211.000
161,211.000
162,211.000
163,210.333
164,211.000
165,211.000
166,210.333
167,210.000
168,210.000
169,210.667
170,210.667
171,210.333
172,210.000
173,210.333
174,211.333
175,211.333
176,210.333
177,210.333
178,211.333
179,211.333
180,211.333
181,211.333
182,211.333
183,211.000
184,211.000
185,210.000
186,210.667
187,210.667
188,211.000
189,211.000
190,210.000
191,210.000
192,210.000
193,211.667
194,214.000
195,215.000
196,216.000
197,217.333
198,219.333
199,220.333
200,221.667
201,221.667
202,221.667
203,221.667
204,222.333
205,222.667
206,222.333
207,222.333
208,222.333
209,222.667
210,224.333
211,226.333
212,253.667
213,249.333
214,253.000
215,234.000
