Distance_(pixels),Gray_Value
0,253.000
1,231.004
2,255.000
3,206.973
4,211.946
5,198.799
6,187.973
7,187.938
8,187.964
9,189.000
10,192.000
11,191.000
12,191.946
13,189.942
14,189.000
15,189.933
16,190.929
17,191.848
18,192.000
19,193.000
20,194.089
21,196.000
22,198.000
23,199.000
24,200.893
25,201.888
26,202.000
27,201.879
28,201.875
29,201.871
30,202.000
31,202.862
32,202.857
33,204.000
34,205.152
35,206.000
36,207.000
37,206.835
38,206.000
39,207.174
40,208.000
41,208.000
42,207.812
43,206.616
44,206.607
45,205.799
46,206.795
47,206.000
48,206.000
49,205.219
50,205.223
51,205.228
52,205.232
53,206.237
54,207.000
55,207.000
56,207.000
57,207.254
58,207.000
59,207.000
60,208.000
61,208.000
62,207.277
63,208.000
64,208.000
65,208.000
66,206.705
67,206.000
68,208.000
69,207.000
70,207.312
71,205.000
72,205.679
73,210.326
74,230.000
75,195.335
76,207.000
77,210.000
78,205.000
79,199.353
80,193.000
81,188.000
82,182.634
83,176.888
84,173.625
85,172.621
86,170.000
87,166.000
88,165.000
89,162.000
90,161.196
91,160.188
92,160.179
93,159.000
94,159.000
95,158.576
96,157.000
97,157.000
98,157.000
99,158.000
100,155.000
101,155.000
102,154.000
103,152.540
104,152.071
105,151.531
106,151.527
107,151.522
108,150.518
109,150.513
110,150.509
111,150.504
112,150.500
113,151.000
114,152.000
115,152.000
116,152.482
117,154.000
118,154.000
119,154.000
120,154.000
121,154.000
122,154.000
123,155.000
124,157.000
125,157.000
126,157.000
127,159.000
128,160.571
129,161.576
130,164.000
131,166.000
132,167.589
133,170.000
134,172.598
135,176.000
136,180.000
137,186.000
138,189.000
139,192.000
140,200.000
141,202.000
142,195.000
143,216.277
144,218.000
145,210.353
146,206.348
147,206.000
148,207.321
149,206.665
150,205.670
151,204.674
152,204.357
153,204.683
154,204.000
155,204.000
156,204.304
157,204.000
158,203.705
159,203.000
160,203.000
161,204.000
162,204.000
163,204.000
164,205.732
165,203.737
166,201.259
167,204.000
168,203.000
169,200.246
170,200.241
171,201.237
172,201.232
173,201.000
174,201.223
175,200.219
176,200.214
177,200.000
178,201.000
179,201.000
180,200.196
181,201.000
182,201.000
183,202.000
184,204.000
185,204.000
186,203.000
187,202.165
188,201.161
189,201.156
190,201.152
191,201.000
192,201.000
193,202.000
194,202.000
195,201.000
196,202.875
197,202.000
198,203.884
199,204.777
200,204.893
201,207.897
202,209.000
203,208.094
204,209.911
205,210.085
206,210.080
207,211.000
208,213.000
209,213.000
210,213.000
211,214.058
212,215.054
213,216.000
214,217.000
215,217.121
216,223.036
217,222.031
218,242.839
219,229.580
220,225.071
221,254.705
222,245.902
223,242.054
224,217.000
